id,y
1,1
2,1
3,2
4,1
5,3
6,2
7,1
8,3
9,2
10,2
11,1
12,1
13,2
14,2
15,1
16,1
17,2
18,3
19,1
20,2
21,2
22,1
23,3
24,1
25,1
26,1
27,1
28,3
29,2
30,2
31,3
32,1
33,1
34,2
35,2
36,3
37,2
38,2
39,1
40,1
41,1
42,2
43,2
44,1
45,3
46,1
47,1
48,2
49,3
50,2
51,2
52,2
53,3
54,2
55,1
56,3
57,1
58,1
59,3
60,3
61,2
62,1
63,2
64,1
65,2
66,2
67,1
68,3
69,3
70,1
71,1
72,1
73,1
74,2
75,1
76,2
77,1
78,1
79,3
80,2
81,3
82,3
83,1
84,3
85,1
86,2
87,1
88,3
89,3
90,2
91,1
92,2
93,3
94,2
95,3
96,2
97,1
98,2
99,1
100,2
101,1
102,3
103,1
104,2
105,2
106,1
107,1
108,2
109,3
110,3
111,2
112,1
113,2
114,2
115,1
116,3
117,2
118,1
119,3
120,1
121,2
122,2
123,2
124,3
125,2
126,1
127,2
128,1
129,1
130,3
131,3
132,1
133,3
134,1
135,3
136,2
137,1
138,2
139,2
140,3
141,1
142,3
143,1
144,1
145,1
146,1
147,3
148,3
149,1
150,2
151,1
152,2
153,1
154,2
155,1
156,2
157,1
158,3
159,2
160,3
161,3
162,1
163,3
164,3
165,1
166,1
167,1
168,2
169,1
170,1
171,2
172,2
173,3
174,2
175,1
176,1
177,2
178,1
179,3
180,1
181,1
182,3
183,3
184,2
185,2
186,1
187,1
188,3
189,2
190,2
191,1
192,2
193,2
194,2
195,2
196,1
197,2
198,1
199,1
200,2
201,2
202,2
203,2
204,1
205,2
206,2
207,3
208,2
209,1
210,1
211,3
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,2
220,3
221,3
222,3
223,3
224,2
225,1
226,2
227,3
228,3
229,2
230,3
231,3
232,2
233,3
234,3
235,1
236,3
237,2
238,3
239,3
240,2
241,1
242,3
243,2
244,1
245,1
246,2
247,3
248,1
249,3
250,1
251,2
252,3
253,1
254,1
255,1
256,2
257,2
258,2
259,2
260,2
261,2
262,1
263,3
264,1
265,2
266,1
267,3
268,2
269,3
270,1
271,2
272,1
273,3
274,3
275,3
276,3
277,2
278,3
279,3
280,2
281,3
282,2
283,1
284,1
285,3
286,2
287,2
288,2
289,2
290,2
291,1
292,1
293,2
294,1
295,2
296,3
297,1
298,3
299,3
300,2
301,1
302,2
303,3
304,1
305,2
306,1
307,2
308,3
309,1
310,3
311,2
312,1
313,3
314,1
315,3
316,3
317,3
318,1
319,3
320,2
321,1
322,2
323,3
324,1
325,1
326,1
327,3
328,3
329,2
330,2
331,2
332,2
333,1
334,1
335,1
336,2
337,2
338,2
339,1
340,1
341,3
342,3
343,3
344,2
345,3
346,2
347,2
348,2
349,3
350,1
351,2
352,1
353,2
354,1
355,1
356,3
357,2
358,1
359,3
360,1
361,2
362,2
363,3
364,1
365,1
366,3
367,3
368,3
369,3
370,1
371,1
372,3
373,2
374,2
375,2
376,1
377,2
378,2
379,3
380,2
381,1
382,2
383,2
384,3
385,2
386,1
387,1
388,1
389,1
390,2
391,2
392,1
393,1
394,1
395,3
396,3
397,1
398,3
399,1
400,2
401,1
402,1
403,3
404,2
405,3
406,1
407,3
408,2
409,2
410,2
411,2
412,1
413,1
414,1
415,3
416,2
417,3
418,3
419,3
420,2
421,1
422,3
423,1
424,1
425,3
426,3
427,3
428,1
429,3
430,2
431,2
432,1
433,2
434,3
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,2
444,3
445,2
446,3
447,1
448,3
449,3
450,2
451,2
452,3
453,2
454,2
455,1
456,2
457,3
458,3
459,2
460,3
461,2
462,2
463,2
464,2
465,1
466,3
467,1
468,2
469,3
470,2
471,3
472,3
473,1
474,3
475,2
476,3
477,1
478,2
479,3
480,3
481,1
482,3
483,2
484,1
485,1
486,2
487,3
488,2
489,1
490,1
491,1
492,2
493,1
494,2
495,3
496,3
497,2
498,2
499,2
500,1
501,2
502,1
503,1
504,3
505,2
506,3
507,2
508,3
509,1
510,2
511,2
512,2
513,1
514,1
515,3
516,1
517,2
518,1
519,3
520,2
521,2
522,1
523,1
524,2
525,3
526,3
527,1
528,3
529,2
530,2
531,1
532,3
533,3
534,2
535,3
536,2
537,2
538,1
539,3
540,1
541,1
542,3
543,1
544,3
545,3
546,1
547,2
548,2
549,2
550,2
551,1
552,3
553,2
554,1
555,3
556,1
557,2
558,2
559,2
560,1
561,2
562,2
563,1
564,2
565,3
566,2
567,1
568,3
569,1
570,3
571,2
572,1
573,1
574,3
575,2
576,1
577,3
578,2
579,2
580,1
581,1
582,3
583,2
584,1
585,3
586,1
587,2
588,2
589,2
590,1
591,2
592,1
593,2
594,1
595,1
596,3
597,1
598,1
599,1
600,1
601,3
602,1
